,lon,lat,z,type
50,-71.08662437893747,42.364814435899355,0.0,BAR
51,-71.08649869394249,42.3637887338844,0.0,BAR
52,-71.08650081953984,42.36385294458443,0.0,BAR
53,-71.0865029451441,42.36391715528365,0.0,BAR
54,-71.08650507075532,42.36398136598207,0.0,BAR
55,-71.08650932199859,42.36410978737648,0.0,RESTAURANT
56,-71.08651569891555,42.36430241946202,0.0,BAR
57,-71.08651782456842,42.364366630155594,0.0,BAR
58,-71.08651995022822,42.36443084084834,0.0,BAR
59,-71.08652207589498,42.364495051540295,0.0,BAR
60,-71.08652420156868,42.36455926223145,0.0,BAR
61,-71.0865263272493,42.36462347292177,0.0,BAR
62,-71.08652845293688,42.3646876836113,0.0,BAR
63,-71.0865305786314,42.36475189430003,0.0,BAR
64,-71.08653270433285,42.36481610498792,0.0,BAR
65,-71.08653483004126,42.36488031567502,0.0,BAR
66,-71.08640489532456,42.36372619213544,0.0,BAR
67,-71.08640702082174,42.36379040284,0.0,BAR
68,-71.08640914632585,42.36385461354378,0.0,BAR
69,-71.08641127183691,42.36391882424672,0.0,BAR
70,-71.0864133973549,42.36398303494888,0.0,BAR
71,-71.08641764841171,42.36411145635075,0.0,RESTAURANT
72,-71.08641977395054,42.36417566705047,0.0,RESTAURANT
73,-71.08642189949629,42.36423987774939,0.0,RESTAURANT
74,-71.0864282761752,42.364432509841286,0.0,BAR
75,-71.08643040174873,42.36449672053695,0.0,BAR
76,-71.0864325273292,42.364560931231836,0.0,BAR
77,-71.0864346529166,42.36462514192589,0.0,BAR
78,-71.08643677851094,42.36468935261916,0.0,BAR
79,-71.08643890411223,42.3647535633116,0.0,BAR
80,-71.08644102972046,42.364817774003235,0.0,BAR
81,-71.08644315533562,42.364881984694065,0.0,BAR
82,-71.08644740658679,42.365010406073296,0.0,BAR
83,-71.08631109689225,42.36366365030497,0.0,BAR
84,-71.08631322228925,42.36372786101408,0.0,BAR
85,-71.0863153476932,42.36379207172238,0.0,BAR
86,-71.0863174731041,42.36385628242988,0.0,BAR
87,-71.08631959852192,42.36392049313657,0.0,BAR
88,-71.08632384937839,42.36404891454751,0.0,RESTAURANT
89,-71.08632597481704,42.36411312525177,0.0,RESTAURANT
90,-71.08633022571517,42.36424154665788,0.0,RESTAURANT
91,-71.08633235117465,42.36430575735971,0.0,RESTAURANT
92,-71.08633447664106,42.364369968060736,0.0,RESTAURANT
93,-71.08634085308192,42.36456260015898,0.0,BAR
94,-71.0863429785761,42.36462681085677,0.0,BAR
95,-71.08634510407722,42.36469102155376,0.0,BAR
96,-71.08635360615109,42.36494786433362,0.0,BAR
97,-71.08635573168691,42.36501207502656,0.0,BAR
98,-71.08635785722967,42.36507628571871,0.0,BAR
99,-71.08635998277937,42.36514049641003,0.0,BAR
100,-71.08636210833602,42.36520470710057,0.0,PARKS
